id,name
225,"K.L.E. Academy of Higher Education and Research, Belgaum"
630,"KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES"
523,"KING GEORGE MEDICAL UNIVERSITY"
141,"Kadi Sarva Vishwavidyalaya, Gandihnagar"
19,"Kakatiya University, Warangal"
576,"Kalyani University, Kalyani"
67,"Kameshwar Singh Darbhanga Sanskrit Vishwavidyalaya, Darbhanga"
226,"Kannada University, Hampi, Kamalapura"
256,"Kannur University, Kannur"
625,"Karnataka Sanskrit University"
227,"Karnataka State Law University, Hubli"
229,"Karnataka State Women University, Bijapur"
230,"Karnataka University, Dharwad"
231,"Karnataka Vetrinary, Animal & Fisheries Science University, Nandinagar"
310,"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek"
257,"Kerala Agricultural University, Thrissur"
258,"Kerala Kalamandalam, Thrissur"
260,"Kerala University, Thiruvananthapuram"
206,"Kolhan University, West Singhbhum"
20,"Koneru Lakshmaiah Education Foundation,Guntur"
387,"Kota University, Kota"
142,"Krantiguru Shyamji Krishna Verma Kachchh University, Kachchh"
311,"Krishna Institute of Medical Sciences Deemed University, Karad"
21,"Krishna University, Machhlipattanam"
562,"Kumaun University, Nainital"
164,"Kurukshetra University, Kurukshetra"
89,"Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya, Raipur"
232,"Kuvempu University, Shankaraghatta, Shimoga"
277,"Lakshmibai National Institute of Physical Education, Gwalior"
165,"Lala lajpat Rai University of Veterinary and Animal Sciences"
68,"Lalit Narayan Mithila University, Darbhanga"
524,"Lucknow University, Lucknow"
461,"M.G.R. Educational and Research Institute, Chennai"
732,"MAHATMA GANDHI UNIVERSITY OF MEDICAL SCIENCES AND TECHNOLOGY, JAIPUR"
317,"MGM Institute of Health Sciences, Navi Mumbai"
462,"Madras University, Chennai"
463,"Madurai Kamraj University, Madurai"
69,"Magadh University, Bodh Gaya"
526,"Mahamaya Technical University"
406,"Maharaja Ganga Singh University, Bikaner"
124,"Maharaja Krishnakumarsinhji Bhavnagar University"
143,"Maharaja Sayajirao University of Baroda, Vadodara"
312,"Maharashtra Animal & Fishery Sciences University, Nagpur"
313,"Maharashtra University of Health Sciences, Nashik"
408,"Maharishi Dayanand Saraswati University, Ajmer"
280,"Maharishi Mahesh Yogi Vedic Vishwavidyalaya, Jabalpur"
168,"Maharishi Markandeshwar University, Mullana-Ambala"
281,"Maharishi Panini Sanskrit Vishwavidyalaya, Ujjain"
90,"Maharishi University of Management and Technology, Bilaspur"
167,"Maharshi Dayanand University, Rohtak"
525,"Mahatama Jyotiba Phule Rohikhand University, Bareilly"
527,"Mahatma Gandhi Kashi Vidyapeeth, Varanasi"
262,"Mahatma Gandhi University, Kottayam"
22,"Mahatma Gandhi University, Nalgonda"
315,"Mahatma Phule Krishi Vidyapeeth, Rahuri"
283,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal"
233,"Mangalore University, Mangalore"
234,"Manipal Academy of Higher Education, Manipal"
337,"Manipur University, Imphal"
464,"Manonmaniam Sundaranar University, Tirunelveli"
316,"Marathwada Agricultural University, Parbhani"
